"","Road","Description","LRP.start","Offset.start","Chainage.start","LRP.end","Offset.end","Chainage.end","Length (km)","Heavy Truck","Medium Truck","Small Truck","Large Bus","Medium Bus","Micro Bus","Utility","Car","Auto Rickshaw","Motor Cycle","Bi-Cycle","Cycle Rickshaw","Cart","Motorized","Non Motorized","Total AADT","Road Code","Segment","Side","PCE"
"11","N1","Madanpur - Langalband (Left)Z1061 (Left)","LRP012","439","11.936","LRP013","3411","15.935","3.999","153.0","4419.0","3221.0","2880.0","2408.0","2787.0","345.0","2105.0","3080.0","1143.0","517.0","1531.0","0.0","22541.0","2048.0","24589.0","N1-6L","6","L",42514.864
"12","N1","Madanpur - Langalband (Left)Z1061 (Right)","LRP012","439","11.936","LRP013","3411","15.935","3.999","174.0","4965.0","3478.0","3296.0","2791.0","1751.0","249.0","1579.0","3154.0","1154.0","211.0","1077.0","0.0","22591.0","1288.0","23879.0","N1-6R","6","R",42790.504
"13","N1","Langalband - Mograpara Chowrasta (Left)Z1089 (Left)","LRP013","3411","15.935","LRP013","7520","20.044","4.109","153.0","4419.0","3221.0","2880.0","2408.0","2787.0","345.0","2105.0","3080.0","1143.0","517.0","1531.0","0.0","22541.0","2048.0","24589.0","N1-7L","7","L",42514.864
"14","N1","Langalband - Mograpara Chowrasta (Left)Z1089 (Right)","LRP013","3411","15.935","LRP013","7520","20.044","4.109","174.0","4965.0","3478.0","3296.0","2791.0","1751.0","249.0","1579.0","3154.0","1154.0","211.0","1077.0","0.0","22591.0","1288.0","23879.0","N1-7R","7","R",42790.504
"15","N1","Mograpara(Int.with Z1089)-Meghna Bridge West End (Left) (Left)","LRP013","7520","20.044","LRP022","1935","23.564","3.520","355.0","5314.0","1116.0","1401.0","726.0","1663.0","403.0","2137.0","1364.0","110.0","37.0","196.0","0.0","14589.0","233.0","14822.0","N1-8L","8","L",28846.484
"16","N1","Mograpara(Int.with Z1089)-Meghna Bridge West End (Left) (Right)","LRP013","7520","20.044","LRP022","1935","23.564","3.520","244.0","4999.0","1005.0","2019.0","684.0","1647.0","396.0","1961.0","1120.0","314.0","31.0","131.0","0.0","14389.0","162.0","14551.0","N1-8R","8","R",29182.344
"17","N1","Meghna Bridge Satrt-Bhaberchar (Left) z1063 (Left)","LRP022","1935","23.564","LRP031","162","30.936","7.372","244.0","4999.0","1005.0","2019.0","684.0","1647.0","396.0","1961.0","1120.0","314.0","31.0","131.0","0.0","14389.0","162.0","14551.0","N1-9L","9","L",29182.344
"18","N1","Meghna Bridge Satrt-Bhaberchar (Left) z1063 (Right)","LRP022","1935","23.564","LRP031","162","30.936","7.372","355.0","5314.0","1116.0","1401.0","726.0","1663.0","403.0","2137.0","1364.0","110.0","37.0","196.0","0.0","14589.0","233.0","14822.0","N1-9R","9","R",28846.484
"19","N1","Bhaberchar(Int.with Z1063)-Daudkandi Bridge (Left) (Left)","LRP031","162","30.936","LRP033","3664","36.271","5.335","355.0","5314.0","1116.0","1401.0","726.0","1663.0","403.0","2137.0","1364.0","110.0","37.0","196.0","0.0","14589.0","233.0","14822.0","N1-10L","10","L",28846.484
"20","N1","Bhaberchar(Int.with Z1063)-Daudkandi Bridge (Left) (Right)","LRP031","162","30.936","LRP033","3664","36.271","5.335","244.0","4999.0","1005.0","2019.0","684.0","1647.0","396.0","1961.0","1120.0","314.0","31.0","131.0","0.0","14389.0","162.0","14551.0","N1-10R","10","R",29182.344
"21","N1","Daudkandi Bridge- Daudkandi Z1062 (Left)","LRP033","3664","36.271","LRP033","5859","38.466","2.195","355.0","5314.0","1116.0","1401.0","726.0","1663.0","403.0","2137.0","1364.0","110.0","37.0","196.0","0.0","14589.0","233.0","14822.0","N1-11L","11","L",28846.484
"22","N1","Daudkandi Bridge- Daudkandi Z1062 (Right)","LRP033","3664","36.271","LRP033","5859","38.466","2.195","244.0","4999.0","1005.0","2019.0","684.0","1647.0","396.0","1961.0","1120.0","314.0","31.0","131.0","0.0","14389.0","162.0","14551.0","N1-11R","11","R",29182.344
"23","N1","Daudkandi Z1062 - Pennai Z1053 (Left)","LRP033","5859","38.466","LRP043","3119","45.388","6.922","348.0","4941.0","928.0","1627.0","632.0","695.0","397.0","1049.0","800.0","132.0","26.0","106.0","0.0","11549.0","132.0","11681.0","N1-12L","12","L",24331.336
"24","N1","Daudkandi Z1062 - Pennai Z1053 (Right)","LRP033","5859","38.466","LRP043","3119","45.388","6.922","359.0","4772.0","851.0","1637.0","566.0","699.0","398.0","1126.0","786.0","198.0","44.0","147.0","0.0","11392.0","191.0","11583.0","N1-12R","12","R",23911.02
"25","N1","Pennai Z1053- Gouripur (Int.with Z1044) (Left)","LRP043","3119","45.388","LRP043","4955","47.224","1.836","348.0","4941.0","928.0","1627.0","632.0","695.0","397.0","1049.0","800.0","132.0","26.0","106.0","0.0","11549.0","132.0","11681.0","N1-13L","13","L",24331.336
"26","N1","Pennai Z1053- Gouripur (Int.with Z1044) (Right)","LRP043","3119","45.388","LRP043","4955","47.224","1.836","359.0","4772.0","851.0","1637.0","566.0","699.0","398.0","1126.0","786.0","198.0","44.0","147.0","0.0","11392.0","191.0","11583.0","N1-13R","13","R",23911.02
"27","N1","Gouripur (Int.with Z1044) - Eliotganj Z1042 (Left)","LRP043","4955","47.224","LRP043","13208","55.477","8.253","359.0","4772.0","851.0","1637.0","566.0","699.0","398.0","1126.0","786.0","198.0","44.0","147.0","0.0","11392.0","191.0","11583.0","N1-14L","14","L",23911.02
"28","N1","Gouripur (Int.with Z1044) - Eliotganj Z1042 (Right)","LRP043","4955","47.224","LRP043","13208","55.477","8.253","348.0","4941.0","928.0","1627.0","632.0","695.0","397.0","1049.0","800.0","132.0","26.0","106.0","0.0","11549.0","132.0","11681.0","N1-14R","14","R",24331.336
"29","N1","Eliotganj Z1042- Madhaya Z1017 (Left)","LRP043","13208","55.477","LRP043","20009","62.278","6.801","348.0","4941.0","928.0","1627.0","632.0","695.0","397.0","1049.0","800.0","132.0","26.0","106.0","0.0","11549.0","132.0","11681.0","N1-15L","15","L",24331.336
"30","N1","Eliotganj Z1042- Madhaya Z1017 (Right)","LRP043","13208","55.477","LRP043","20009","62.278","6.801","359.0","4772.0","851.0","1637.0","566.0","699.0","398.0","1126.0","786.0","198.0","44.0","147.0","0.0","11392.0","191.0","11583.0","N1-15R","15","R",23911.02
"31","N1","Madhaya Z1017 - Chandina Z1022 (Left)","LRP043","20009","62.278","LRP067","3912","69.638","7.360","348.0","4941.0","928.0","1627.0","632.0","695.0","397.0","1049.0","800.0","132.0","26.0","106.0","0.0","11549.0","132.0","11681.0","N1-16L","16","L",24331.336
"32","N1","Madhaya Z1017 - Chandina Z1022 (Right)","LRP043","20009","62.278","LRP067","3912","69.638","7.360","359.0","4772.0","851.0","1637.0","566.0","699.0","398.0","1126.0","786.0","198.0","44.0","147.0","0.0","11392.0","191.0","11583.0","N1-16R","16","R",23911.02
"33","N1","Chandina Z1022 - Nimsar  (Int.with Z1219 & Z1028)  (Left)","LRP067","3912","69.638","LRP076","1760","75.589","5.951","308.0","5253.0","680.0","1824.0","454.0","959.0","393.0","1215.0","1997.0","617.0","128.0","174.0","0.0","13700.0","302.0","14002.0","N1-17L","17","L",26818.948
"34","N1","Chandina Z1022 - Nimsar  (Int.with Z1219 & Z1028)  (Right)","LRP067","3912","69.638","LRP076","1760","75.589","5.951","336.0","5605.0","763.0","1863.0","474.0","1037.0","415.0","1042.0","1906.0","492.0","96.0","184.0","0.0","13933.0","280.0","14213.0","N1-17R","17","R",27900.728
"35","N1","Nimsar (Int.with Z1219 & Z1028) - Mainamati N102 (Left)","LRP076","1760","75.589","LRP076","8017","81.846","6.257","308.0","5253.0","680.0","1824.0","454.0","959.0","393.0","1215.0","1997.0","617.0","128.0","174.0","0.0","13700.0","302.0","14002.0","N1-18L","18","L",26818.948
"36","N1","Nimsar (Int.with Z1219 & Z1028) - Mainamati N102 (Right)","LRP076","1760","75.589","LRP076","8017","81.846","6.257","336.0","5605.0","763.0","1863.0","474.0","1037.0","415.0","1042.0","1906.0","492.0","96.0","184.0","0.0","13933.0","280.0","14213.0","N1-18R","18","R",27900.728
"37","N1","Mainamati  N102- Int.with Z1029 (Left)","LRP076","8017","81.846","LRP076","12068","85.897","4.051","308.0","5253.0","680.0","1824.0","454.0","959.0","393.0","1215.0","1997.0","617.0","128.0","174.0","0.0","13700.0","302.0","14002.0","N1-19L","19","L",26818.948
"38","N1","Mainamati  N102- Int.with Z1029 (Right)","LRP076","8017","81.846","LRP076","12068","85.897","4.051","336.0","5605.0","763.0","1863.0","474.0","1037.0","415.0","1042.0","1906.0","492.0","96.0","184.0","0.0","13933.0","280.0","14213.0","N1-19R","19","R",27900.728
"39","N1","Int.with Z1029 - Int.with Z1052 (Left)","LRP076","12068","85.897","LRP076","13537","87.366","1.469","308.0","5253.0","680.0","1824.0","454.0","959.0","393.0","1215.0","1997.0","617.0","128.0","174.0","0.0","13700.0","302.0","14002.0","N1-20L","20","L",26818.948
"40","N1","Int.with Z1029 - Int.with Z1052 (Right)","LRP076","12068","85.897","LRP076","13537","87.366","1.469","336.0","5605.0","763.0","1863.0","474.0","1037.0","415.0","1042.0","1906.0","492.0","96.0","184.0","0.0","13933.0","280.0","14213.0","N1-20R","20","R",27900.728
"41","N1","Int.with Z1052 - Changani (Kotbari) (Left)","LRP076","13537","87.366","LRP091","897","89.41","2.044","294.0","5781.0","770.0","1356.0","307.0","516.0","257.0","732.0","1429.0","384.0","72.0","144.0","0.0","11826.0","216.0","12042.0","N1-21L","21","L",24012.476
"42","N1","Int.with Z1052 - Changani (Kotbari) (Right)","LRP076","13537","87.366","LRP091","897","89.41","2.044","321.0","5542.0","848.0","1306.0","321.0","522.0","282.0","825.0","1412.0","370.0","64.0","143.0","0.0","11749.0","207.0","11956.0","N1-21R","21","R",23595.92
"43","N1","Changani (Kotbari) - Paduar Bazar Biswa Rd. R140 (Left)","LRP091","897","89.41","LRP093","1090","91.583","2.173","294.0","5781.0","770.0","1356.0","307.0","516.0","257.0","732.0","1429.0","384.0","72.0","144.0","0.0","11826.0","216.0","12042.0","N1-22L","22","L",24012.476
"44","N1","Changani (Kotbari) - Paduar Bazar Biswa Rd. R140 (Right)","LRP091","897","89.41","LRP093","1090","91.583","2.173","321.0","5542.0","848.0","1306.0","321.0","522.0","282.0","825.0","1412.0","370.0","64.0","143.0","0.0","11749.0","207.0","11956.0","N1-22R","22","R",23595.92
"45","N1","Paduar Bazar Biswa Rd. R140 - Miabazar Z1046 (Left)","LRP093","1090","91.583","LRP105","3631","105.879","14.296","294.0","5781.0","770.0","1356.0","307.0","516.0","257.0","732.0","1429.0","384.0","72.0","144.0","0.0","11826.0","216.0","12042.0","N1-23L","23","L",24012.476
"46","N1","Paduar Bazar Biswa Rd. R140 - Miabazar Z1046 (Right)","LRP093","1090","91.583","LRP105","3631","105.879","14.296","321.0","5542.0","848.0","1306.0","321.0","522.0","282.0","825.0","1412.0","370.0","64.0","143.0","0.0","11749.0","207.0","11956.0","N1-23R","23","R",23595.92
"47","N1","Miabazar Z1046 - Chauddagram(Int.with Z1045) (Left)","LRP105","3631","105.879","LRP105","17450","119.698","13.819","294.0","5781.0","770.0","1356.0","307.0","516.0","257.0","732.0","1429.0","384.0","72.0","144.0","0.0","11826.0","216.0","12042.0","N1-24L","24","L",24012.476
"48","N1","Miabazar Z1046 - Chauddagram(Int.with Z1045) (Right)","LRP105","3631","105.879","LRP105","17450","119.698","13.819","321.0","5542.0","848.0","1306.0","321.0","522.0","282.0","825.0","1412.0","370.0","64.0","143.0","0.0","11749.0","207.0","11956.0","N1-24R","24","R",23595.92
"49","N1","Chauddagram(Int.with Z1045)-Md. Ali bazar (Int.with Z1031) (Left)","LRP105","17450","119.698","LRP142","230","138.869","19.171","459.0","3515.0","726.0","761.0","304.0","688.0","251.0","508.0","929.0","324.0","33.0","121.0","0.0","8465.0","154.0","8619.0","N1-25L","25","L",17054.872
"50","N1","Chauddagram(Int.with Z1045)-Md. Ali bazar (Int.with Z1031) (Right)","LRP105","17450","119.698","LRP142","230","138.869","19.171","398.0","3838.0","863.0","780.0","314.0","674.0","306.0","589.0","760.0","353.0","36.0","115.0","0.0","8875.0","151.0","9026.0","N1-25R","25","R",17860.488
"51","N1","Md. Ali bazar (Int.with Z1031)-Int.with Z1031 (Left)","LRP142","230","138.869","LRP143","500","140.251","1.382","459.0","3515.0","726.0","761.0","304.0","688.0","251.0","508.0","929.0","324.0","33.0","121.0","0.0","8465.0","154.0","8619.0","N1-26L","26","L",17054.872
"52","N1","Md. Ali bazar (Int.with Z1031)-Int.with Z1031 (Right)","LRP142","230","138.869","LRP143","500","140.251","1.382","398.0","3838.0","863.0","780.0","314.0","674.0","306.0","589.0","760.0","353.0","36.0","115.0","0.0","8875.0","151.0","9026.0","N1-26R","26","R",17860.488
"53","N1","Int.with Z1031 - Elahiganj (Feni) Z1030 (Left)","LRP143","500","140.251","LRP146","240","143.034","2.783","626.0","4617.0","1156.0","1923.0","588.0","791.0","216.0","716.0","1212.0","331.0","92.0","228.0","0.0","12176.0","320.0","12496.0","N1-27L","27","L",25726.896
"54","N1","Int.with Z1031 - Elahiganj (Feni) Z1030 (Right)","LRP143","500","140.251","LRP146","240","143.034","2.783","728.0","4991.0","1253.0","2234.0","667.0","1164.0","249.0","813.0","1676.0","426.0","148.0","235.0","0.0","14201.0","383.0","14584.0","N1-27R","27","R",29659.484
"55","N1","Elahiganj (Feni)  Z1030- Feni (Int.with N104) (Left)","LRP146","240","143.034","LRP147","1614","145.409","2.375","728.0","4991.0","1253.0","2234.0","667.0","1164.0","249.0","813.0","1676.0","426.0","148.0","235.0","0.0","14201.0","383.0","14584.0","N1-28L","28","L",29659.484
"56","N1","Elahiganj (Feni)  Z1030- Feni (Int.with N104) (Right)","LRP146","240","143.034","LRP147","1614","145.409","2.375","626.0","4617.0","1156.0","1923.0","588.0","791.0","216.0","716.0","1212.0","331.0","92.0","228.0","0.0","12176.0","320.0","12496.0","N1-28R","28","R",25726.896
"57","N1","Feni (Int.with N104) - Feni Shahid Minar (Int.with Z1034) (Left)","LRP147","1614","145.409","LRP152","448","149.289","3.880","355.0","5555.0","1533.0","1572.0","630.0","1141.0","285.0","980.0","1252.0","415.0","89.0","199.0","0.0","13718.0","288.0","14006.0","N1-29L","29","L",27711.504
"58","N1","Feni (Int.with N104) - Feni Shahid Minar (Int.with Z1034) (Right)","LRP147","1614","145.409","LRP152","448","149.289","3.880","350.0","5976.0","1656.0","1618.0","669.0","1185.0","355.0","1071.0","1266.0","409.0","96.0","196.0","0.0","14555.0","292.0","14847.0","N1-29R","29","R",29338.888
"59","N1","Feni Shahid Minar( Int.with Z1034)-Fazilpur (Z1081) (Left)","LRP152","448","149.289","LRP160","738","157.685","8.396","393.0","4967.0","1201.0","1656.0","293.0","775.0","282.0","973.0","840.0","207.0","224.0","188.0","0.0","11587.0","412.0","11999.0","N1-30L","30","L",24307.348
"60","N1","Feni Shahid Minar( Int.with Z1034)-Fazilpur (Z1081) (Right)","LRP152","448","149.289","LRP160","738","157.685","8.396","437.0","5132.0","981.0","1477.0","239.0","613.0","235.0","833.0","847.0","187.0","200.0","141.0","0.0","10981.0","341.0","11322.0","N1-30R","30","R",23280.856
"61","N1","Fazilpur Z1081 - Muhuriganj Z1032 (Left)","LRP160","738","157.685","LRP164","619","161.582","3.897","355.0","5555.0","1533.0","1572.0","630.0","1141.0","285.0","980.0","1252.0","415.0","89.0","199.0","0.0","13718.0","288.0","14006.0","N1-31L","31","L",27711.504
"62","N1","Fazilpur Z1081 - Muhuriganj Z1032 (Right)","LRP160","738","157.685","LRP164","619","161.582","3.897","350.0","5976.0","1656.0","1618.0","669.0","1185.0","355.0","1071.0","1266.0","409.0","96.0","196.0","0.0","14555.0","292.0","14847.0","N1-31R","31","R",29338.888
"63","N1","Muhuriganj Z1032-Baraiyerhat R151 (Left)","LRP164","619","161.582","LRP164","6720","167.683","6.101","366.0","3877.0","1050.0","1313.0","539.0","752.0","319.0","770.0","2247.0","371.0","109.0","251.0","0.0","11604.0","360.0","11964.0","N1-32L","32","L",21709.68
"64","N1","Muhuriganj Z1032-Baraiyerhat R151 (Right)","LRP164","619","161.582","LRP164","6720","167.683","6.101","376.0","4095.0","978.0","1358.0","526.0","765.0","277.0","770.0","2304.0","292.0","75.0","282.0","0.0","11741.0","357.0","12098.0","N1-32R","32","R",22272.908
"65","N1","Baraiyerhat R151- Mirersarai Z1021 (Left)","LRP164","6720","167.683","LRP164","20501","181.464","13.781","366.0","3877.0","1050.0","1313.0","539.0","752.0","319.0","770.0","2247.0","371.0","109.0","251.0","0.0","11604.0","360.0","11964.0","N1-33L","33","L",21709.68
"66","N1","Baraiyerhat R151- Mirersarai Z1021 (Right)","LRP164","6720","167.683","LRP164","20501","181.464","13.781","376.0","4095.0","978.0","1358.0","526.0","765.0","277.0","770.0","2304.0","292.0","75.0","282.0","0.0","11741.0","357.0","12098.0","N1-33R","33","R",22272.908
"67","N1","Mirersarai Z1021 - Baroirdala Z1086 (Left)","LRP164","20501","181.464","LRP197","1120","194.603","13.139","366.0","3877.0","1050.0","1313.0","539.0","752.0","319.0","770.0","2247.0","371.0","109.0","251.0","0.0","11604.0","360.0","11964.0","N1-34L","34","L",21709.68
"68","N1","Mirersarai Z1021 - Baroirdala Z1086 (Right)","LRP164","20501","181.464","LRP197","1120","194.603","13.139","376.0","4095.0","978.0","1358.0","526.0","765.0","277.0","770.0","2304.0","292.0","75.0","282.0","0.0","11741.0","357.0","12098.0","N1-34R","34","R",22272.908
"69","N1","Baroirdala Z1086- Barabkunda Z1087 (Left)","LRP197","1120","194.603","LRP209","486","206.402","11.799","986.0","5219.0","1000.0","1499.0","561.0","881.0","230.0","831.0","2864.0","451.0","93.0","288.0","0.0","14522.0","381.0","14903.0","N1-35L","35","L",28231.404
"70","N1","Baroirdala Z1086- Barabkunda Z1087 (Right)","LRP197","1120","194.603","LRP209","486","206.402","11.799","1217.0","5230.0","1456.0","1648.0","654.0","843.0","247.0","775.0","2735.0","415.0","109.0","350.0","0.0","15220.0","459.0","15679.0","N1-35R","35","R",29978.312
"71","N1","Barabkunda Z1087-Fouzderhat Z1016 (Left)","LRP209","486","206.402","LRP225","6400","228.406","22.004","986.0","5219.0","1000.0","1499.0","561.0","881.0","230.0","831.0","2864.0","451.0","93.0","288.0","0.0","14522.0","381.0","14903.0","N1-36L","36","L",28231.404
"72","N1","Barabkunda Z1087-Fouzderhat Z1016 (Right)","LRP209","486","206.402","LRP225","6400","228.406","22.004","1217.0","5230.0","1456.0","1648.0","654.0","843.0","247.0","775.0","2735.0","415.0","109.0","350.0","0.0","15220.0","459.0","15679.0","N1-36R","36","R",29978.312
"73","N1","Fouzderhat Z1016 - Alonker Cinema Hall (Chittagong)","LRP225","6400","228.406","LRP225","10748","232.754","4.348","21.0","1105.0","808.0","898.0","621.0","987.0","194.0","694.0","2994.0","581.0","221.0","426.0","0.0","8903.0","647.0","9550.0","N1-37","37","NA",13797.804
"74","N1","Chittagong (Badderhat)-Maizzertek int with Z1804","LRP225","10748","232.754","LRP251","496","247.893","15.139","21.0","1105.0","808.0","898.0","621.0","987.0","194.0","694.0","2994.0","581.0","221.0","426.0","0.0","8903.0","647.0","9550.0","N1-38","38","NA",13797.804
"75","N1","Maizzertek Int with Z1804-Sikolbaha Int with Z1018","LRP251","496","247.893","LRP251","3048","250.445","2.552","21.0","1105.0","808.0","898.0","621.0","987.0","194.0","694.0","2994.0","581.0","221.0","426.0","0.0","8903.0","647.0","9550.0","N1-39","39","NA",13797.804
"76","N1","Sikolbaha Int with Z1018-Santirhat Int. with Z1071","LRP251","3048","250.445","LRP251","5559","252.956","2.511","21.0","1105.0","808.0","898.0","621.0","987.0","194.0","694.0","2994.0","581.0","221.0","426.0","0.0","8903.0","647.0","9550.0","N1-40","40","NA",13797.804
"77","N1","Santirhat Int. with Z1071 - Int. with Z1070","LRP251","5559","252.956","LRP259","726","255.725","2.769","21.0","1105.0","808.0","898.0","621.0","987.0","194.0","694.0","2994.0","581.0","221.0","426.0","0.0","8903.0","647.0","9550.0","N1-41","41","NA",13797.804
"78","N1","Int. with Z1070 - Mansertek(Int.with N107)","LRP259","726","255.725","LRP259","1810","256.809","1.084","30.0","1077.0","795.0","994.0","658.0","1483.0","305.0","658.0","3125.0","536.0","207.0","240.0","7.0","9661.0","454.0","10115.0","N1-42","42","NA",15388.628
"79","N1","Mansertek(Int.with N107)- Patiya (Int.with Z1059)","LRP259","1810","256.809","LRP264","3734","263.744","6.935","30.0","1077.0","795.0","994.0","658.0","1483.0","305.0","658.0","3125.0","536.0","207.0","240.0","7.0","9661.0","454.0","10115.0","N1-43","43","NA",15388.628
"80","N1","Patiya (Int.with Z1059) - Patiya Dakbanglo (Int.with Z1057)","LRP264","3734","263.744","LRP264","4060","264.07","0.326","24.0","1181.0","882.0","802.0","639.0","1307.0","196.0","840.0","4070.0","910.0","819.0","3156.0","0.0","10851.0","3975.0","14826.0","N1-44","44","NA",17627.096
"81","N1","Patiya Dakbanglo (Int.with Z1057) - Patiya (Int.with Z1039)","LRP264","4060","264.07","LRP264","5400","265.41","1.340","24.0","1181.0","882.0","802.0","639.0","1307.0","196.0","840.0","4070.0","910.0","819.0","3156.0","0.0","10851.0","3975.0","14826.0","N1-45","45","NA",17627.096
"82","N1","Patiya (Int.with Z1039)-Khanhat Int.with Z1026","LRP264","5400","265.41","LRP277","1763","274.982","9.572","24.0","1181.0","882.0","802.0","639.0","1307.0","196.0","840.0","4070.0","910.0","819.0","3156.0","0.0","10851.0","3975.0","14826.0","N1-46","46","NA",17627.096
"83","N1","Khanhat Int.with Z1026 - Hashimpur Z1036","LRP277","1763","274.982","LRP281","700","278.013","3.031","23.0","786.0","1237.0","944.0","92.0","1267.0","109.0","811.0","6505.0","905.0","220.0","843.0","0.0","12679.0","1063.0","13742.0","N1-47","47","NA",15616.624
"84","N1","Hashimpur Z1036- Keranirhat N108","LRP281","700","278.013","LRP291","2558","289.612","11.599","23.0","786.0","1237.0","944.0","92.0","1267.0","109.0","811.0","6505.0","905.0","220.0","843.0","0.0","12679.0","1063.0","13742.0","N1-48","48","NA",15616.624
"85","N1","Keranirhat N108 - Int.with Z1019","LRP291","2558","289.612","LRP291","2920","289.974","0.362","23.0","786.0","1237.0","944.0","92.0","1267.0","109.0","811.0","6505.0","905.0","220.0","843.0","0.0","12679.0","1063.0","13742.0","N1-49","49","NA",15616.624
"86","N1","Int.with Z1019 - Lohagara, Bara Aulia (Int.with Z1013)","LRP291","2920","289.974","LRP299","2769","297.441","7.467","23.0","786.0","1237.0","944.0","92.0","1267.0","109.0","811.0","6505.0","905.0","220.0","843.0","0.0","12679.0","1063.0","13742.0","N1-50","50","NA",15616.624
"87","N1","Lohagara, Bara Aulia (Int.with Z1013) - Chunati R171","LRP299","2769","297.441","LRP312","171","307.582","10.141","42.0","2364.0","1215.0","1015.0","787.0","2025.0","345.0","1013.0","1668.0","779.0","642.0","728.0","0.0","11253.0","1370.0","12623.0","N1-51","51","NA",20857.692
"88","N1","Chunati R171 - Aziznagar Z1007","LRP312","171","307.582","LRP320","308","315.728","8.146","42.0","2364.0","1215.0","1015.0","787.0","2025.0","345.0","1013.0","1668.0","779.0","642.0","728.0","0.0","11253.0","1370.0","12623.0","N1-52","52","NA",20857.692
"89","N1","Aziznagar (Int.with Z1007)-Harbang (Int.with Z1124)","LRP320","308","315.728","LRP321","63","316.356","0.628","42.0","2364.0","1215.0","1015.0","787.0","2025.0","345.0","1013.0","1668.0","779.0","642.0","728.0","0.0","11253.0","1370.0","12623.0","N1-53","53","NA",20857.692
"90","N1","Harbang (Int.with Z1124) - Ekatabazar Z1125","LRP321","63","316.356","LRP328","485","323.842","7.486","42.0","2364.0","1215.0","1015.0","787.0","2025.0","345.0","1013.0","1668.0","779.0","642.0","728.0","0.0","11253.0","1370.0","12623.0","N1-54","54","NA",20857.692
"91","N1","Ekatabazar Z1125 - Baraitali Int.with Z1002","LRP328","485","323.842","LRP331","844","327.188","3.346","44.0","774.0","249.0","749.0","144.0","1058.0","202.0","661.0","1133.0","552.0","233.0","267.0","0.0","5566.0","500.0","6066.0","N1-55","55","NA",9781.468
"92","N1","Baraitali Int.with Z1002-Int.with Z1126","LRP331","844","327.188","LRP335","500","330.874","3.686","44.0","774.0","249.0","749.0","144.0","1058.0","202.0","661.0","1133.0","552.0","233.0","267.0","0.0","5566.0","500.0","6066.0","N1-56","56","NA",9781.468
